app,compose_path,severity,category,field,value,status,evidence,suggestion,source_url
ALL,Apps/*/docker-compose.yml,info,git_commit,commit,b8f1391,completed,"提交 release notes 元数据修复：141 个 app，335 insertions / 191 deletions。","已提交，等待 push。",""
ALL,Apps/*/docker-compose.yml,info,git_commit,commit,0055d6b,completed,"提交 app links / websites 修复：21 个 app，25 insertions / 25 deletions。","已提交，等待 push。",""
TaskingAI,Apps/TaskingAI/docker-compose.yml,info,git_commit,commit,012994b,completed,"提交 TaskingAI website broken link 修复：1 个 app，1 insertion / 1 deletion。","已提交，等待 push。","https://docs.tasking.ai/"
Jellyseerr,Apps/Jellyseerr/docker-compose.yml,critical,missing_compose,docker-compose.yml,docker-compose.yaml -> docker-compose.yml,fixed,"原清单报告缺少 docker-compose.yml；本次已将 docker-compose.yaml 重命名为 docker-compose.yml。","已修复并提交在早前 commit 50bb4d3。",""
Logseq,Apps/Logseq/docker-compose.yml,critical,missing_compose,docker-compose.yml,docker-compose.yaml -> docker-compose.yml,fixed,"原清单报告缺少 docker-compose.yml；本次已将 docker-compose.yaml 重命名为 docker-compose.yml。","已修复并提交在早前 commit 50bb4d3。",""
Trilium,Apps/Trilium/docker-compose.yml,critical,missing_compose,docker-compose.yml,docker-compose.yaml -> docker-compose.yml,fixed,"原清单报告缺少 docker-compose.yml；本次已将 docker-compose.yaml 重命名为 docker-compose.yml。","已修复并提交在早前 commit 50bb4d3。",""
AlbyHub,Apps/AlbyHub/docker-compose.yml,critical,missing_main_service,main,albyhub,fixed,"补齐 x-casaos.main，指向主服务 albyhub。","已修复并提交在早前 commit 50bb4d3。",""
EmulatorJS,Apps/EmulatorJS/docker-compose.yml,critical,missing_main_service,main,emulatorjs,fixed,"补齐 x-casaos.main，指向主服务 emulatorjs。","已修复并提交在早前 commit 50bb4d3。",""
FlareSolverr,Apps/FlareSolverr/docker-compose.yml,critical,missing_main_service,main,flaresolverr,fixed,"补齐 x-casaos.main，指向主服务 flaresolverr。","已修复并提交在早前 commit 50bb4d3。",""
Handbrake,Apps/Handbrake/docker-compose.yml,critical,missing_main_service,main,handbrake,fixed,"补齐 x-casaos.main，指向主服务 handbrake。","已修复并提交在早前 commit 50bb4d3。",""
Netdata,Apps/Netdata/docker-compose.yml,critical,missing_main_service,main,app,fixed,"补齐 x-casaos.main，指向主服务 app。","已修复并提交在早前 commit 50bb4d3。",""
